index,glyph_type,sizeA,sizeB,sizeC
31,line,62.0,73.0,95.0
32,circle,86.0,66.0,49.0
33,star,57.0,53.0,47.0
34,line,52.0,59.0,68.0
35,line,82.0,88.0,99.0
36,square,30.0,19.0,7.0
37,circle,59.0,45.0,32.0
38,polygon,89.0,66.0,44.0
39,polygon,28.0,38.0,52.0
40,square,99.0,74.0,51.0
41,square,19.0,36.0,53.0
42,star,86.0,88.0,96.0
43,circle,3.0,17.0,28.0
44,star,32.0,38.0,46.0
45,square,44.0,59.0,79.0
46,square,37.0,61.0,87.0
47,polygon,22.0,34.0,47.0
48,circle,15.0,32.0,58.0
49,polygon,16.0,28.0,40.0
50,circle,46.0,23.0,1.0
1,beer,32.0,15.0,1.0
2,tree_growth,93.0,72.0,56.0
3,tree_growth,66.0,62.0,55.0
4,circular_progressbar,6.0,15.0,28.0
5,sun,77.0,72.0,65.0
6,sun,4.0,10.0,20.0
7,circular_progressbar,8.0,22.0,44.0
8,sun,97.0,83.0,62.0
9,beer,28.0,19.0,14.0
10,circular_progressbar,23.0,42.0,65.0
11,beer,71.0,55.0,46.0
13,beer,4.0,11.0,22.0
14,tree_growth,4.0,29.0,48.0
15,tree_growth,70.0,66.0,23.0
16,sun,32.0,20.0,9.0
17,flower,27.0,34.0,44.0
18,sun,31.0,52.0,79.0
19,beer,55.0,63.0,88.0
20,sun,86.0,92.0,100.0
21,beer,85.0,74.0,66.0
22,tree_growth,46.0,38.0,32.0
23,sun,68.0,61.0,41.0
24,beer,52.0,37.0,29.0
25,beer,30.0,9.0,1.0
26,circular_progressbar,78.0,64.0,50.0
27,flower,8.0,30.0,46.0
28,tree_growth,65.0,45.0,19.0
29,sun,3.0,19.0,46.0
30,circular_progressbar,33.0,16.0,1.0
31,sun,11.0,18.0,26.0
32,flower,54.0,76.0,90.0
33,beer,33.0,11.0,1.0
34,flower,31.0,15.0,1.0
35,flower,95.0,68.0,47.0
36,sun,43.0,51.0,60.0
37,flower,26.0,12.0,2.0
38,flower,36.0,30.0,25.0
39,circular_progressbar,46.0,71.0,95.0
40,flower,30.0,26.0,19.0
